,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
0,8,Shakawe,BW,-18.3667,21.85,67.57,86,80,1.21,Divava Okavango Lodge & Spa
1,10,Cairo,EG,30.0626,31.2497,54.36,76,0,2.3,"Marriott Mena House, Cairo"
2,13,Port Alfred,ZA,-33.5906,26.891,68.83,90,58,15.21,Oceana Beach and Wildlife Reserve
3,17,Lebu,CL,-37.6167,-73.65,57.61,91,98,5.28,Albergo Italiano
4,19,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,100,10.36,"Radisson Blu Hotel, Port Elizabeth"
5,32,Mudgal,IN,16.0167,76.4333,65.3,66,12,7.67,Hotel Vinay Residency
6,36,Hobart,AU,-42.8794,147.3294,67.26,73,75,12.66,Hotel Grand Chancellor Hobart
7,38,San Patricio,US,28.017,-97.5169,55.49,39,92,8.39,Hampton Inn & Suites Corpus Christi
8,43,Nioki,CD,-2.7167,17.6833,69.93,97,60,2.84,Guest House L'Espace Imperial
9,49,Hermanus,ZA,-34.4187,19.2345,67.89,79,80,17.87,Sea Star Lodge - Gansbaai
10,50,Cidreira,BR,-30.1811,-50.2056,68.77,88,24,2.75,Capão da Canoa Mar Hotel
11,71,Mataura,NZ,-46.1927,168.8643,66.47,35,100,2.75,Ascot Park Hotel
12,72,Hong Kong,HK,22.2855,114.1577,64.26,76,48,5.99,Hilton Garden Inn Hong Kong Mongkok
13,74,Cape Town,ZA,-33.9258,18.4232,68.41,79,20,23.02,Cape Town Marriott Hotel Crystal Towers
14,75,Saint George,US,37.1041,-113.5841,61.36,17,0,0.63,Sleep Inn & Suites Hurricane Zion Park Area
15,76,Haimen,CN,23.1935,116.6142,57.09,79,97,13.18,Regency Hotel Shantou
16,83,Castro,BR,-24.7911,-50.0119,65.43,89,97,2.48,Premium Vila Velha Hotel
17,85,Chicama,PE,-7.8447,-79.1469,68.54,69,61,4.61,Wyndham Costa del Sol Trujillo
18,93,Syracuse,IT,37.0881,15.2792,51.89,83,100,4.61,Grand Hotel Ortigia
19,108,Ponta do Sol,PT,32.6667,-17.1,61.72,71,88,1.3,Hotel The Cliff Bay
20,110,Tanout,NE,14.9709,8.8879,63.7,14,0,10.87,
21,116,Dera Bugti,PK,29.0307,69.151,58.48,34,4,5.41,Juman hotel
22,131,Bongaigaon,IN,26.4782,90.5568,59.41,60,0,4.27,Musa Jungle Retreat
23,132,New Norfolk,AU,-42.7826,147.0587,66.9,59,96,1.99,Hotel Grand Chancellor Hobart
24,133,Abbeville,FR,50.1,1.8333,53.94,88,100,23.0,Hôtel de la Terrasse
25,144,Del Rio,US,29.3627,-100.8968,56.23,27,0,9.73,Quality Inn & Suites Del Rio
26,148,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,55,0,12.66,Lucania Palazzo Hotel
27,150,Gweru,ZW,-19.45,29.8167,58.05,65,0,5.41,Regency Hotel Fairmile
28,152,Rocha,UY,-34.4833,-54.3333,58.21,62,50,6.67,Kala Hotel Boutique
29,154,Douentza,ML,14.9951,-2.9517,65.82,16,3,6.8,Ogomono Doumbo
30,156,Ribeira Grande,PT,38.5167,-28.7,58.08,69,100,3.51,Azoris Faial Garden - Resort Hotel
31,162,Rio Grande,BR,-32.035,-52.0986,64.51,56,0,13.29,Nelson Praia Hotel
32,163,Lagoa,PT,39.05,-27.9833,56.64,60,100,5.06,Graciosa Resort - Biosphere Island Hotel
33,172,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,99,9.22,Arniston Spa Hotel
34,183,Wanganui,NZ,-39.9333,175.05,64.74,64,77,5.99,Distinction Coachman Hotel Palmerston North
35,186,Nushki,PK,29.5542,66.0215,50.22,56,100,1.99,Shams hotel
36,190,Itaqui,BR,-29.1253,-56.5531,64.85,33,0,8.7,Hotel Del Rio.
37,196,Tiznit Province,MA,29.5833,-9.5,52.41,50,0,3.51,La Perle Traditionnelle du Sud
38,200,Fortuna,US,40.5982,-124.1573,62.47,94,100,0.0,Best Western Plus Humboldt Bay Inn
39,202,Bedēsa,ET,8.9,40.7833,60.24,66,73,4.45,Aschalew International Hotel
40,204,Plettenberg Bay,ZA,-34.0527,23.3716,67.05,92,100,9.28,The Robberg Beach Lodge - Lion Roars Hotels & Lodges
41,209,Bluff,NZ,-46.6,168.3333,66.79,63,100,1.57,South Sea Hotel
42,214,Portland,US,45.5234,-122.6762,58.42,62,0,7.0,The Society Hotel - Portland
43,215,Marsabit,KE,2.3284,37.9899,67.32,49,77,5.19,Sand And Rock Resort/hotel
44,219,Ancud,CL,-41.8697,-73.8203,62.13,95,6,2.26,Panamericana Hotel Ancud
45,220,Malangali,TZ,-8.5667,34.85,61.68,94,95,2.33,Merin Hotel
46,223,Muros,ES,42.7762,-9.0603,53.24,94,9,18.03,Hotel NH Collection Santiago de Compostela
47,234,Lodja,CD,-3.4833,23.4333,68.94,90,100,1.9,HÔTEL VERAL LODGE
48,235,Chokwé,MZ,-24.5333,32.9833,69.42,95,0,4.97,Xikomissani Lodge
49,238,Hirara,JP,24.8,125.2833,66.47,77,75,24.16,宮古島東急ホテル＆リゾーツ
