,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,-42.7826,147.0587,62.1,62,100,0.51
1,Albany,US,42.6001,-73.9662,26.55,57,100,1.01
2,Yellowknife,CA,62.456,-114.3525,-16.58,79,75,2.3
3,Provideniya,RU,64.3833,-173.3,-14.12,95,19,3.38
4,Āsosa,ET,10.0667,34.5333,72.25,27,33,4.38
5,Mataura,NZ,-46.1927,168.8643,42.48,99,26,2.15
6,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,100,7.0
7,Busselton,AU,-33.65,115.3333,64.04,73,0,12.03
8,Hilo,US,19.7297,-155.09,73.11,81,20,6.91
9,Punta Arenas,CL,-53.15,-70.9167,51.91,50,20,46.04
10,Longyearbyen,SJ,78.2186,15.6401,13.84,92,75,2.3
11,Hobyo,SO,5.3505,48.5268,77.2,74,66,16.24
12,Ushuaia,AR,-54.8,-68.3,39.65,91,100,30.62
13,Katsuura,JP,35.1333,140.3,38.1,97,100,31.65
14,Flinders,AU,-34.5833,150.8552,67.37,81,100,5.01
15,Lüderitz,NA,-26.6481,15.1594,75.31,62,0,13.0
16,Hithadhoo,MV,-0.6,73.0833,82.26,76,36,10.0
17,Bay City,US,43.5945,-83.8889,20.1,57,100,7.0
18,Houston,US,29.7633,-95.3633,58.55,32,0,9.22
19,Cape Town,ZA,-33.9258,18.4232,70.27,79,20,20.71
20,Kapaa,US,22.0752,-159.319,72.19,84,40,13.8
21,Alyangula,AU,-13.8483,136.4192,73.27,100,6,0.0
22,Vila Franca do Campo,PT,37.7167,-25.4333,63.19,70,5,5.79
23,Temir,KZ,49.1414,57.13,13.51,97,96,11.99
24,Beloha,MG,-25.1667,45.05,76.06,87,32,16.15
25,Sousa,BR,-6.7592,-38.2281,89.87,39,57,8.46
26,Chui,UY,-33.6971,-53.4616,73.45,37,0,14.23
27,Praia da Vitória,PT,38.7333,-27.0667,60.76,72,75,7.94
28,Port-Cartier,CA,50.0334,-66.8654,3.74,65,30,5.93
29,Zhangaözen,KZ,43.3,52.8,30.85,64,6,13.13
30,Lorengau,PG,-2.0226,147.2712,80.4,78,100,1.54
31,Burla,IN,21.5,83.8667,60.08,34,0,3.42
32,Mayo,US,38.8876,-76.5119,35.94,87,100,11.5
33,Santa Cruz del Sur,CU,20.7147,-77.9956,81.7,65,5,9.84
34,Vaini,TO,-21.2,-175.2,78.96,89,40,5.75
35,Makkah al Mukarramah,SA,21.4267,39.8261,76.57,39,0,3.29
36,Katangli,RU,51.7102,143.2326,-11.88,98,21,6.76
37,Kruisfontein,ZA,-34.0033,24.7314,65.84,91,4,7.16
38,Camacha,PT,33.0833,-16.3333,59.76,67,20,11.5
